avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len
249.09049881235154,235.64454534531126,-1.0,0.03498265051081015,4210,147.2419759999999,1048671.0
227.0853183196189,213.42830101958398,-1.0,0.03643818583495776,4618,168.23510399999998,1048680.0
259.7362555720654,233.45833924607055,-1.0,0.03507792965073074,4038,141.609602,1048815.0
246.04786485218207,226.64517583143603,-1.0,0.03578350715794414,4262,152.473524,1048656.0
284.8772072806303,259.5534367876595,-1.0,0.034253067391304313,3681,126.05128799999989,1048633.0
237.89127516778524,229.9879502257538,-1.0,0.03895012499999996,745,28.97889299999997,177229.0
92.04608497191012,151.89835844691223,1.2090362613922823,0.03172188552365903,11392,361.343998,1048589.0
120.56725684065303,185.1572611458595,1.4837235865219873,0.014403557663562142,8698,125.26774099999994,1048694.0
116.82553996882655,176.23317322882548,1.5173766816143497,0.01417386315555061,8982,127.29546500000004,1049327.0
119.13449960240827,180.556816550304,1.450041747843028,0.014856789138832082,8803,130.769458,1048741.0
37.296781077716524,17.62240160009197,-1.0,0.024352167425481967,28115,684.636835,1048599.0
39.10584518167457,18.77647765436783,-1.0,0.027344884955752186,3165,86.51921599999991,123770.0
