,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
345,1320.0,0.0,-1.0,9.857430730478536e-05,795,0.07826799999999956,1049400.0,1,download
623,1320.0,0.0,-1.0,0.00011679219143576262,795,0.09273299999999553,1049400.0,1,download
24,170.78571428571428,384.5393205005036,1.0,0.05385484615384629,14,0.7001130000000018,2391.0,1,download
453,1320.0,0.0,-1.0,7.809949622166028e-05,795,0.06201099999999826,1049400.0,1,download
44,400.157894736842,604.5774707418851,0.9,0.027520833333333092,19,0.4953749999999957,7603.0,1,download
333,107.0,-1.0,0.0,-1.0,1,0.0065119999999865286,107.0,0,download
311,106.0,-1.0,0.0,-1.0,1,0.013222999999999985,106.0,0,download
101,32.0,0.0,1.0,0.002720666666685171,4,0.008162000000055514,128.0,1,download
608,1320.0,0.0,-1.0,9.655667506294028e-05,795,0.07666599999997459,1049400.0,1,download
25,170.78571428571428,384.5393205005036,1.0,0.02052338461538411,14,0.2668039999999934,2391.0,1,download
50,474.03389830508485,627.2385831646544,1.0344827586206895,0.018925000000000032,59,1.0976500000000016,27968.0,1,download
607,1320.0,0.0,-1.0,9.102896725440768e-05,795,0.0722769999999997,1049400.0,1,download
392,1320.0,0.0,-1.0,8.916246851385886e-05,795,0.07079500000000394,1049400.0,1,download
522,1320.0,0.0,-1.0,0.00014331738035264308,795,0.11379399999999862,1049400.0,1,download
103,170.78571428571428,384.5393205005036,1.0,0.02029653846153897,14,0.2638550000000066,2391.0,1,download
675,1320.0,0.0,-1.0,0.00014453778337529243,795,0.11476299999998214,1049400.0,1,download
598,1320.0,0.0,-1.0,9.066750629722866e-05,795,0.07198999999999955,1049400.0,1,download
643,1320.0,0.0,-1.0,0.0001623589420654876,795,0.12891299999999714,1049400.0,1,download
173,1450.0,0.0,-1.0,0.0002827593360995853,724,0.2044350000000001,1049800.0,1,download
144,32.0,0.0,1.0,0.022969333333331104,4,0.06890799999999331,128.0,1,download
13,301.6,518.9307413188337,0.875,0.00902857142857145,15,0.1264000000000003,4524.0,1,download
441,1320.0,0.0,-1.0,0.00011353400503778876,795,0.09014600000000428,1049400.0,1,download
196,129.5,210.49637104288098,1.0,0.007711111111110903,10,0.06939999999999813,1295.0,1,download
348,1320.0,0.0,-1.0,0.00010333249370277086,795,0.08204600000000006,1049400.0,1,download
37,170.78571428571428,384.5393205005036,1.0,0.015258692307692346,14,0.1983630000000005,2391.0,1,download
324,75.0,-1.0,0.0,-1.0,1,0.017335000000002758,75.0,0,download
541,1320.0,0.0,-1.0,0.000102710327455922,795,0.08155200000000208,1049400.0,1,download
135,170.78571428571428,384.5393205005036,1.0,0.01676261538461487,14,0.21791399999999328,2391.0,1,download
525,1320.0,0.0,-1.0,0.00011213853904282388,795,0.08903800000000217,1049400.0,1,download
695,1320.0,0.0,-1.0,9.259068010074988e-05,795,0.07351699999999539,1049400.0,1,download
530,1320.0,0.0,-1.0,0.00011113602015116166,795,0.08824200000002236,1049400.0,1,download
229,170.78571428571428,384.5393205005036,1.0,0.019780384615385255,14,0.2571450000000084,2391.0,1,download
487,1320.0,0.0,-1.0,9.773299748111322e-05,795,0.07760000000000389,1049400.0,1,download
486,1320.0,0.0,-1.0,9.967506297229784e-05,795,0.07914200000000449,1049400.0,1,download
456,1320.0,0.0,-1.0,7.943702770783e-05,795,0.06307300000001702,1049400.0,1,download
222,32.0,0.0,1.0,0.022815333333331484,4,0.06844599999999446,128.0,1,download
27,133.08333333333334,242.94311280751725,1.0,0.011027545454545228,12,0.1213029999999975,1597.0,1,download
661,1320.0,0.0,-1.0,0.0001027468513854261,795,0.08158100000002833,1049400.0,1,download
411,1320.0,0.0,-1.0,8.677329974810735e-05,795,0.06889799999999724,1049400.0,1,download
600,1320.0,0.0,-1.0,0.00018116750629723936,795,0.14384700000000805,1049400.0,1,download
155,69.7,81.7231777268712,1.0,3.341206000000001,10,30.07085400000001,697.0,1,download
593,1320.0,0.0,-1.0,8.4130982367759e-05,795,0.06680000000000064,1049400.0,1,download
436,1320.0,0.0,-1.0,8.904785894205556e-05,795,0.0707039999999921,1049400.0,1,download
564,1320.0,0.0,-1.0,9.481612090679641e-05,795,0.07528399999999635,1049400.0,1,download
682,1320.0,0.0,-1.0,0.00010920277078086156,795,0.08670700000000409,1049400.0,1,download
150,354.5,550.6125297291525,0.8181818181818182,3.4782542631578948,20,66.086831,7090.0,1,download
378,1320.0,0.0,-1.0,0.00012274811083123446,795,0.09746200000000016,1049400.0,1,download
213,170.78571428571428,384.5393205005036,1.0,0.01923653846153811,14,0.2500749999999954,2391.0,1,download
369,1320.0,0.0,-1.0,9.044458438287002e-05,795,0.0718129999999988,1049400.0,1,download
89,32.0,0.0,1.0,0.02394266666667022,4,0.07182800000001066,128.0,1,download
584,1320.0,0.0,-1.0,8.994584382871124e-05,795,0.07141699999999672,1049400.0,1,download
53,170.78571428571428,384.5393205005036,1.0,0.01902376923076933,14,0.2473090000000013,2391.0,1,download
20,1045.0,634.6873245937719,-1.0,11.225022090909093,12,123.475243,12540.0,1,download
360,1320.0,0.0,-1.0,8.838287153650157e-05,795,0.07017599999998225,1049400.0,1,download
88,170.78571428571428,384.5393205005036,1.0,0.052912692307691384,14,0.687864999999988,2391.0,1,download
343,1320.0,0.0,-1.0,0.00012546851385390439,795,0.0996220000000001,1049400.0,1,download
673,1320.0,0.0,-1.0,0.00010954911838797071,795,0.08698200000004874,1049400.0,1,download
