,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
365,182.0,0.0,-1.0,1.5252570000000034,3,3.0505140000000064,546.0,0,game
151,36.0,17.258832480159224,-1.0,0.004091478672985786,212,0.8633020000000009,7632.0,1,game
213,236.37837837837841,358.48185692129766,1.1764705882352942,1.0732644444444444,37,38.63752,8746.0,1,game
506,467.9333333333333,595.8101950334075,1.1428571428571428,1.0396285172413793,30,30.149227000000003,14038.0,1,game
123,333.1111111111111,526.894116741125,1.0769230769230769,1.1784226538461529,27,30.638988999999967,8994.0,1,game
371,145.0,0.0,-1.0,3.7667734999999993,5,15.067093999999996,725.0,0,game
517,32.0,0.0,1.0,0.004958666666662263,4,0.014875999999986787,128.0,1,game
523,171.28,363.6930390682047,1.0833333333333333,0.004598624999997488,25,0.11036699999993972,4282.0,1,game
208,928.4884955752212,644.9002712983423,0.4947089947089947,0.0009248618246235608,1130,1.0441690000000001,1049192.0,1,game
37,273.2,399.7138976818295,1.1428571428571428,1.0664881724137951,30,30.928157000000052,8196.0,1,game
308,41.0,-1.0,-1.0,-1.0,1,0.4108030000001008,41.0,0,game
14,44.0,0.0,-1.0,1.401112399999994,6,7.005561999999969,264.0,1,game
301,153.4179104477612,66.04753780507696,-1.0,19.179646500000004,67,1265.8566690000002,10279.0,0,game
341,141.5847961112611,112.08665395279604,1.118421052631579,0.03409616583389601,7406,252.482108,1048577.0,0,game
281,156.0,-1.0,0.0,-1.0,1,0.2296910000000025,156.0,0,game
138,161.08270202020202,304.34126347443015,1.3712574850299402,0.8161387372078329,1584,1291.9476209999996,255155.0,1,game
454,71.0,-1.0,0.0,-1.0,1,0.016212999999993368,71.0,0,game
456,201.0,-1.0,0.0,-1.0,1,0.5090909999999997,201.0,0,game
388,301.79625899280575,78.86680096579829,-1.0,0.061991359240069085,3475,215.357982,1048742.0,0,game
381,53.11023622047245,1.3465319737961825,1.0158730158730158,9.52048026190476,127,1199.580513,6745.0,0,game
367,71.0,-1.0,0.0,-1.0,1,0.0032730000000356085,71.0,0,game
161,37.57142857142857,22.47856121476004,1.3333333333333333,2.627012833333333,7,15.762076999999998,263.0,1,game
467,51.0,-1.0,0.0,-1.0,1,0.017054999999999154,51.0,0,game
406,152.0,0.0,-1.0,30.78811104651163,44,1323.888775,6688.0,0,game
222,167.5405405405406,320.36616156747493,1.3125,0.002689361111110955,37,0.09681699999999438,6199.0,1,game
144,1354.0560165975105,210.5843739701474,-1.0,0.0019420519750519753,482,0.9341270000000002,652655.0,1,game
567,152.0,0.0,-1.0,32.51164633333333,13,390.139756,1976.0,0,game
168,878.8229166666665,658.4134606071595,0.5780821917808219,0.0015111286956521722,576,0.868898999999999,506202.0,1,game
155,202.14705882352942,383.34327779087374,1.4285714285714286,3.6657226060606063,34,120.968846,6873.0,1,game
414,116.0,-1.0,0.0,-1.0,1,0.033134999999997916,116.0,0,game
534,32.0,0.0,1.0,0.0008399999999966213,4,0.002519999999989864,128.0,1,game
242,189.9782608695652,269.82698070598536,1.7058823529411764,2.1347226444444445,46,96.062519,8739.0,1,game
3,465.2,604.2061420318114,1.1428571428571428,1.0706122413793102,30,31.047754999999995,13956.0,1,game
502,44.0,0.0,-1.0,1.4034258000000022,6,7.017129000000013,264.0,1,game
425,115.0,-1.0,0.0,-1.0,1,0.4252829999999985,115.0,0,game
13,161.67567567567568,316.5696389995989,1.1764705882352942,3.34725377777778,37,120.50113600000007,5982.0,1,game
597,28.0,0.0,-1.0,3.0224912127659573,142,426.171261,3976.0,0,game
278,55.0,-1.0,0.0,-1.0,1,0.0006179999999993412,55.0,0,game
93,30.0,14.142135623730953,1.0,0.3400880000000015,2,0.3400880000000015,60.0,1,game
294,182.0,0.0,-1.0,1.5011180000000195,3,3.0022360000000385,546.0,0,game
292,141.0,-1.0,0.0,-1.0,1,0.017289000000005217,141.0,0,game
382,78.0,-1.0,0.0,-1.0,1,0.01768600000002607,78.0,0,game
12,82.36969696969697,183.08398793204915,1.7049180327868851,8.065468481707319,165,1322.7368310000004,13591.0,1,game
480,259.7362555720654,233.4583392460705,-1.0,0.03507792965073074,4038,141.609602,1048815.0,0,game
162,216.26666666666668,346.7070023154212,0.9565217391304348,0.7522892727272676,45,33.10072799999977,9732.0,1,game
269,69.0,-1.0,0.0,-1.0,1,0.003311000000024933,69.0,0,game
206,32.475,5.3011246992428935,-1.0,0.0027768205128204946,40,0.10829599999999928,1299.0,1,game
78,275.1851851851852,438.41638418964897,1.25,1.171806346153849,27,30.466965000000076,7430.0,1,game
207,1370.1780104712045,172.1823688578323,-1.0,0.0013565315789473649,191,0.2577409999999993,261704.0,1,game
158,385.26923076923083,547.3987619783081,1.1666666666666667,1.2898788000000012,26,32.24697000000003,10017.0,1,game
307,265.0,-1.0,0.0,-1.0,1,0.0008129999999999526,265.0,0,game
526,44.0,0.0,-1.0,1.4017982000000018,6,7.008991000000008,264.0,1,game
547,138.0,0.0,-1.0,12.908876999999961,2,12.908876999999961,276.0,0,game
186,34.54545454545455,3.6976651109487015,1.2,0.02189930000000686,11,0.2189930000000686,380.0,1,game
