avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count
37.268,52.2237828915093,0.7513134851138353,0.07312008408408409,1000
33.516,13.664569677251622,0.5847860538827259,0.05728267767767767,1000
36.935,17.96394941204407,-1.0,0.09574190590590591,1000
37.267,21.393349115703842,-1.0,0.054560848848848834,1000
37.221,13.831683717988726,-1.0,0.02436416416416413,1000
38.022,14.961663255379309,-1.0,0.02293446746746749,1000
37.014,14.025923517919614,-1.0,0.02254254954954957,1000
37.909,21.49671667552578,-1.0,0.022725288288288285,1000
37.611,14.250429949785858,-1.0,0.023893348348348366,1000
37.878,14.842149622120287,-1.0,0.024351751751751707,1000
36.189,25.821348164281062,-1.0,0.026365930930930866,1000
35.589,12.596457825505937,-1.0,0.02351323223223221,1000
37.94,14.585099421160114,-1.0,0.023719643643643634,1000
37.256,14.36122239604654,-1.0,0.02317321421421426,1000
38.261,22.826342697000783,-1.0,0.023217336336336224,1000
36.863,14.217748604310577,-1.0,0.022855873873873913,1000
37.447,15.101365575412121,-1.0,0.02529959959959964,1000
38.692,16.112564996013226,-1.0,0.02337081881881869,1000
37.281,21.23357963000831,-1.0,0.023191550550550447,1000
36.772,13.750967424334373,-1.0,0.02404680480480476,1000
37.969,15.314979189916896,-1.0,0.024818343343343388,1000
35.862,13.334720498412059,-1.0,0.026961909909909987,1000
36.041,20.912212691143896,-1.0,0.02697417317317313,1000
36.892,14.123307112847323,-1.0,0.022342729729729713,1000
37.59,15.436067250830835,-1.0,0.02308227527527521,1000
38.417,15.287407099172043,-1.0,0.02274215115115108,1000
38.213,22.70359187626672,-1.0,0.02303877677677672,1000
37.164,14.552074314916993,-1.0,0.023784823823823808,1000
37.075,13.994256472360874,-1.0,0.023314716716716893,1000
36.838,21.43499977175683,-1.0,0.024767581581581648,1000
37.647,14.069909500538849,-1.0,0.023236232232232208,1000
37.214,13.49734723500816,-1.0,0.024764281281281258,1000
37.432,20.844660608315884,-1.0,0.026004716716716576,1000
35.275,20.290171661818587,-1.0,0.0251887547547547,1000
35.987,14.741986201226656,-1.0,0.025016194194194073,1000
35.173,13.428827365202235,-1.0,0.026630100100100116,1000
36.43,14.15597017132671,-1.0,0.0236431261261263,1000
38.476,22.177314022605565,-1.0,0.023553004004004112,1000
38.343,15.625284013434781,-1.0,0.02266623423423442,1000
37.507,14.75912540710942,-1.0,0.023883249249249387,1000
37.064,21.229993325873107,-1.0,0.022609835835835937,1000
38.338,15.829286854508712,-1.0,0.024960880880881005,1000
35.32,12.335224268644561,-1.0,0.029827821821821837,1000
36.261,13.4778533725342,-1.0,0.025798971971972014,1000
36.722,33.96993777846337,-1.0,0.02638195295295278,1000
36.757,15.282391910381781,-1.0,0.025225592592592733,1000
37.702,14.977701009418219,-1.0,0.02431898198198211,1000
39.473,22.58099139037461,-1.0,0.022600844844844658,1000
38.43,15.473736993258496,-1.0,0.022823237237237056,1000
39.837,16.672204215201823,-1.0,0.02453141741741754,1000
37.014,13.842377520332821,-1.0,0.025584939939940037,1000
36.101,20.477307418679814,-1.0,0.025417969969969766,1000
39.098,15.917152752667537,-1.0,0.0226068278278279,1000
41.645,18.291023386801967,-1.0,0.024605845845845825,1000
38.528688524590166,17.73994196105596,-1.0,0.04492254620123235,488
133.853,213.51716317422813,-1.0,0.10034406406406406,1000
174.986,193.48448529546252,-1.0,0.06193928028028022,1000
238.354,227.4314132474486,-1.0,0.03508535135135137,1000
241.604,231.9900527362511,-1.0,0.03558954954954957,1000
263.142,256.31526554489756,-1.0,0.034349007007007014,1000
217.094,220.21847638502393,-1.0,0.03716510210210213,1000
233.656,229.88591343794252,-1.0,0.036360211211211205,1000
259.114,255.79938688419548,-1.0,0.03522694794794798,1000
235.091,228.89069808681757,-1.0,0.03541425825825822,1000
233.878,231.58154747114273,-1.0,0.03581052852852865,1000
238.22,232.7487391492714,-1.0,0.03607513113113109,1000
245.434,239.5996653663015,-1.0,0.03488610210210213,1000
265.105,251.70659941127323,-1.0,0.035479530530530476,1000
197.749,209.50809445136156,-1.0,0.039456296296296274,1000
265.353,243.42628195358395,-1.0,0.03484718218218226,1000
241.015,234.98389350167216,-1.0,0.034709542542542465,1000
262.602,252.94518944796098,-1.0,0.034022625625625635,1000
248.971,231.79719605529982,-1.0,0.0358052102102101,1000
213.662,193.91174157208613,-1.0,0.03581271571571566,1000
248.7,228.29340305378489,-1.0,0.03500571671671688,1000
230.07,227.46359001999593,-1.0,0.03832396496496491,1000
216.767,197.60164250359892,-1.0,0.03653583783783778,1000
235.417,214.70702414503634,-1.0,0.035610032032032175,1000
235.573,226.23476487896338,-1.0,0.035894538538538454,1000
263.017,235.99920834048856,-1.0,0.03516180780780775,1000
249.281,216.5897207767399,-1.0,0.03480630430430437,1000
287.182,248.8206595051878,-1.0,0.03413206206206219,1000
200.304,189.12936181222497,-1.0,0.038946826826826805,1000
193.278,183.69148940350848,-1.0,0.03674675875875876,1000
265.565,239.59795273322754,-1.0,0.03543430630630629,1000
255.765,227.07140991371017,-1.0,0.03591324324324327,1000
311.557,260.5642002529385,-1.0,0.0328419499499501,1000
269.606,248.0351874598002,-1.0,0.03527202602602605,1000
263.106,260.35905131106847,-1.0,0.03449084684684676,1000
276.807,241.13970662068309,-1.0,0.03466246646646666,1000
298.376,268.798495634286,-1.0,0.03391881181181196,1000
251.78014184397162,275.23154128319413,-1.0,0.05165224999999834,141
