,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
1661,170.78571428571428,384.5393205005036,1.0,0.01646484615384207,14,0.2140429999999469,2391.0,1,voip
1156,170.78571428571428,384.5393205005036,1.0,0.021733846153840483,14,0.2825399999999263,2391.0,1,voip
2734,209.0,-1.0,0.0,-1.0,1,0.02111899999999877,209.0,0,voip
331,170.78571428571428,384.5393205005036,1.0,0.017179846153847114,14,0.22333800000001247,2391.0,1,voip
1872,453.88067444876776,541.8076797903676,-1.0,0.008632144463667793,2313,19.957517999999933,1049826.0,0,voip
699,170.78571428571428,384.5393205005036,1.0,0.02031600000000001,14,0.26410800000000023,2391.0,1,voip
340,170.78571428571428,384.5393205005036,1.0,0.04304715384615266,14,0.5596129999999846,2391.0,1,voip
3025,827.8161010260457,352.86751331376837,-1.0,0.0028183270142179925,1267,3.5680019999999786,1048843.0,0,voip
1140,170.78571428571428,384.5393205005036,1.0,0.01905315384615628,14,0.2476910000000317,2391.0,1,voip
304,400.157894736842,595.732533493,0.9,0.018402777777775253,19,0.3312499999999545,7603.0,1,voip
2688,32.666666666666664,1.1547005383792517,0.5,9.8650505,3,19.730101,98.0,0,voip
218,20.0,-1.0,0.0,-1.0,1,0.1893519999999853,20.0,1,voip
1443,170.78571428571428,384.5393205005036,1.0,0.018966153846152932,14,0.2465599999999881,2391.0,1,voip
1598,170.78571428571428,384.5393205005036,1.0,0.015202846153849457,14,0.19763700000004286,2391.0,1,voip
2097,400.157894736842,595.732533493,0.9,0.01786955555555399,19,0.32165199999997185,7603.0,1,voip
1602,20.0,-1.0,0.0,-1.0,1,0.03521100000023125,20.0,1,voip
263,170.78571428571428,384.5393205005036,1.0,0.016393615384615146,14,0.2131169999999969,2391.0,1,voip
814,170.78571428571428,384.5393205005036,1.0,0.022287384615354386,14,0.289735999999607,2391.0,1,voip
205,170.78571428571428,384.5393205005036,1.0,0.021414615384628632,14,0.2783900000001722,2391.0,1,voip
