avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration
0.0,-1.0,0.0,-1.0,1,5.6999999999999996e-05
0.0,-1.0,0.0,-1.0,1,6.000000000039307e-05
99.6923076923077,246.65103034293364,0.8571428571428571,0.013857833333333383,13,0.1662940000000006
0.0,-1.0,0.0,-1.0,1,5.800000000277805e-05
0.0,-1.0,0.0,-1.0,1,0.0001370000000022742
0.0,-1.0,0.0,-1.0,1,8.300000000360797e-05
0.0,-1.0,0.0,-1.0,1,8.899999997424857e-05
88.14285714285714,209.44720544359592,0.75,0.0144864615384622,14,0.1883240000000086
0.0,-1.0,0.0,-1.0,1,9.500000000173259e-05
0.0,-1.0,0.0,-1.0,1,0.00014899999999329339
0.0,-1.0,0.0,-1.0,1,6.500000000642103e-05
0.0,-1.0,0.0,-1.0,1,6.799999994200334e-05
0.0,-1.0,0.0,-1.0,1,7.600000003549212e-05
0.0,-1.0,0.0,-1.0,1,8.699999997929808e-05
0.0,-1.0,0.0,-1.0,1,6.19999999855736e-05
0.0,-1.0,0.0,-1.0,1,7.10000000196942e-05
0.0,-1.0,0.0,-1.0,1,9.599999998499698e-05
0.0,-1.0,0.0,-1.0,1,7.100000004811591e-05
0.0,-1.0,0.0,-1.0,1,9.1999999995096e-05
0.0,-1.0,0.0,-1.0,1,8.799999997677332e-05
125.0,313.0434184233584,0.7142857142857143,0.004651454545456669,12,0.05116600000002336
0.0,-1.0,0.0,-1.0,1,9.599999998499698e-05
0.0,-1.0,0.0,-1.0,1,0.00010700000001406806
18.571428571428573,23.31563954986111,0.75,0.010046333333330418,7,0.06027799999998251
134.5,106.77312395916867,-1.0,0.00883899999996629,2,0.00883899999996629
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
0.0,0.0,1.0,0.007164000000000004,2,0.007164000000000004
741.0845588235294,625.6864836715358,0.5632183908045977,0.0031197749077490782,272,0.8454590000000002
147.31578947368422,295.0753298606945,0.9,0.006771611111111107,19,0.12188899999999991
28.0,41.92851058647326,0.6666666666666666,0.0421895000000001,5,0.1687580000000004
866.5263157894736,602.3396972657999,0.35714285714285715,0.00023598214285712262,57,0.013214999999998867
504.0,615.9612056749611,0.7647058823529411,0.011193517241379253,30,0.32461199999999835
443.80898876404495,585.4342187331883,0.9347826086956522,0.004647409090909094,89,0.40897200000000034
513.9203539823009,606.8237732770193,0.8524590163934426,0.008723428571428573,113,0.9770240000000001
34.1025641025641,92.3456877492606,-1.0,0.017398842105263206,39,0.6611560000000019
52.2,91.19064279482481,-1.0,0.004906666666666837,10,0.04416000000000153
23.0,32.526911934581186,-1.0,0.044019999999999726,2,0.044019999999999726
206.4,436.26459860960523,-1.0,0.006351750000000322,5,0.02540700000000129
9.2,20.571825392998065,-1.0,0.047377749999999885,5,0.18951099999999954
201.0,416.2722666717061,-1.0,0.09197719999999983,11,0.9197719999999983
871.5,579.209222586633,-1.0,0.0015061764705881628,18,0.025604999999998768
11.5,23.0,-1.0,0.04838233333333145,4,0.14514699999999436
92.0,181.10218110227166,-1.0,0.011069000000000884,5,0.044276000000003535
11.5,23.0,-1.0,0.047580333333338366,4,0.1427410000000151
11.5,23.0,-1.0,0.007565333333329723,4,0.02269599999998917
11.5,23.0,-1.0,0.007977666666666513,4,0.023932999999999538
92.0,181.10218110227166,-1.0,0.005601750000000294,5,0.022407000000001176
11.5,23.0,-1.0,0.017143666666659858,4,0.051430999999979576
92.0,181.10218110227166,-1.0,0.005429249999998831,5,0.021716999999995323
11.5,23.0,-1.0,0.008808333333334417,4,0.02642500000000325
64.57142857142857,132.06419795293644,-1.0,0.16077900000000037,7,0.9646740000000023
115.66666666666667,261.4373092476792,-1.0,0.004728399999996214,6,0.023641999999981067
11.5,23.0,-1.0,0.03860233333332985,4,0.11580699999998956
11.5,23.0,-1.0,0.007957666666669638,4,0.023873000000008915
11.5,23.0,-1.0,0.01305966666668231,4,0.039179000000046926
11.5,23.0,-1.0,0.007982999999995855,4,0.023948999999987564
11.5,23.0,-1.0,0.045347999999999423,4,0.13604399999999828
11.5,23.0,-1.0,0.008715333333346583,4,0.02614600000003975
9.2,20.571825392998065,-1.0,0.033543000000001655,5,0.13417200000000662
11.5,23.0,-1.0,0.01808133333332762,4,0.05424399999998286
11.5,23.0,-1.0,0.008122333333346887,4,0.02436700000004066
11.5,23.0,-1.0,0.007557999999998326,4,0.022673999999994976
11.5,23.0,-1.0,0.007903000000036778,4,0.023709000000110336
11.5,23.0,-1.0,0.027482333333371873,4,0.08244700000011562
11.5,23.0,-1.0,0.00795866666665764,4,0.02387599999997292
11.5,23.0,-1.0,0.007772333333377901,4,0.023317000000133703
11.5,23.0,-1.0,0.007780666666652299,4,0.023341999999956897
11.5,23.0,-1.0,0.0080919999999954,4,0.024275999999986198
11.5,23.0,-1.0,0.007883666666676467,4,0.0236510000000294
11.5,23.0,-1.0,0.012139000000009522,4,0.036417000000028565
66.28571428571429,156.0360153786237,-1.0,0.03377350000000471,7,0.20264100000002827
11.5,23.0,-1.0,0.007737666666666125,4,0.023212999999998374
92.0,181.10218110227166,-1.0,0.00565849999999557,5,0.02263399999998228
11.5,23.0,-1.0,0.007854333333322453,4,0.02356299999996736
11.5,23.0,-1.0,0.00785400000000891,4,0.023562000000026728
