avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,tot_pkt_len,fwd_pkt_len,bwd_pkt_len
64.0,33.94112549695428,2.2,0.001017999999987751,2,0.001017999999987751,128.0,88,40.0
178.32142857142858,345.08335585300614,0.42697913689625605,0.0047537407407410815,28,0.1283510000000092,4993.0,1494,3499.0
64.0,33.94112549695428,2.2,0.0010120000000028995,2,0.0010120000000028995,128.0,88,40.0
73.2,20.571825392998065,1.859375,0.0005250000000000046,5,0.0021000000000000185,366.0,238,128.0
115.33333333333333,50.52062285179522,1.9572649572649572,0.0032630000000040127,3,0.006526000000008025,346.0,229,117.0
73.2,20.571825392998065,1.859375,0.0005802499999987276,5,0.0023209999999949105,366.0,238,128.0
158.7,239.56908073548317,2.8333333333333335,0.0034431111111119764,10,0.030988000000007787,1587.0,1173,414.0
64.0,33.94112549695428,2.2,0.0008789999999976317,2,0.0008789999999976317,128.0,88,40.0
419.2962962962963,547.8209852760589,0.1821029549963454,1.1579529615384603,27,30.106776999999965,11321.0,1744,9577.0
88.0,0.0,-1.0,1.1673026666666668,7,7.0038160000000005,616.0,616,0.0
178.10714285714286,345.01909118253633,0.426487414187643,0.0047925185185178,28,0.12939799999998058,4987.0,1491,3496.0
523.421052631579,617.1360019883895,0.11578593066307641,0.8136958648648644,38,30.106746999999984,19890.0,2064,17826.0
73.2,20.571825392998065,1.859375,0.00048675000000386603,5,0.0019470000000154641,366.0,238,128.0
486.9032258064516,590.2639722948092,0.16899008674101612,1.0049742333333331,31,30.149226999999996,15094.0,2182,12912.0
88.0,0.0,-1.0,1.1695215000000019,7,7.017129000000011,616.0,616,0.0
73.2,20.571825392998065,1.859375,0.0007647499999983154,5,0.0030589999999932616,366.0,238,128.0
88.0,0.0,-1.0,1.16873933333333,7,7.01243599999998,616.0,616,0.0
60.6,22.667156857444652,0.9056603773584906,0.0003807500000000408,5,0.0015230000000001631,303.0,144,159.0
73.2,20.571825392998065,1.859375,0.000602749999998764,5,0.002410999999995056,366.0,238,128.0
115.33333333333333,50.52062285179522,1.9572649572649572,0.0083204999999964,3,0.0166409999999928,346.0,229,117.0
88.0,0.0,-1.0,1.1679711666666606,7,7.007826999999963,616.0,616,0.0
73.2,20.571825392998065,1.859375,0.021544999999999703,5,0.08617999999999881,366.0,238,128.0
75.0,19.27865832122834,1.734375,0.0009253333333330005,7,0.005551999999998003,525.0,333,192.0
73.2,20.571825392998065,1.859375,0.0006299999999974659,5,0.0025199999999898637,366.0,238,128.0
187.84615384615384,356.76644374802873,0.4239067055393586,0.005180239999996275,26,0.12950599999990686,4884.0,1454,3430.0
73.2,20.571825392998065,1.859375,0.0005422500000000011,5,0.0021690000000000043,366.0,238,128.0
40.0,0.0,2.0,0.010117000000001042,3,0.020234000000002084,120.0,80,40.0
547.0238095238095,629.8680654764812,0.12144286620783912,0.7436427073170773,42,30.48935100000017,22975.0,2488,20487.0
188.46153846153845,356.93833985933543,0.42524723676556136,0.005214919999998529,26,0.1303729999999632,4900.0,1462,3438.0
364.57142857142856,536.5933001332567,0.16540323317197916,0.011898617647059448,35,0.40455300000002126,12760.0,1811,10949.0
73.2,20.571825392998065,1.859375,0.0006924999999995407,5,0.002769999999998163,366.0,238,128.0
64.0,33.94112549695428,2.2,0.001059999999995398,2,0.001059999999995398,128.0,88,40.0
155.64373992477164,245.3561650778402,3.5298625338191827,0.22808037741935486,1861,424.229502,289653.0,225710,63943.0
350.53333333333336,491.9138369557272,0.3286165508528111,1.0710784137931004,30,31.061273999999912,10516.0,2601,7915.0
724.2671755725191,673.1025047600617,0.07351044330293499,0.0005498076923074153,131,0.07147499999996398,94879.0,6497,88382.0
184.85714285714286,141.29946946003162,1.1265406737880033,9.176777292682926,42,376.247869,7764.0,4113,3651.0
187.76923076923077,356.7458824084514,0.4237386993292505,0.0044146799999975886,26,0.11036699999993971,4882.0,1453,3429.0
187.69230769230768,356.72552689492454,0.4235705950991832,0.004420319999998128,26,0.1105079999999532,4880.0,1452,3428.0
184.85714285714286,141.29946946003162,1.1265406737880033,9.17601875609756,42,376.216769,7764.0,4113,3651.0
88.0,0.0,-1.0,1.1681651666666681,7,7.008991000000009,616.0,616,0.0
187.92307692307693,356.787210878072,0.4240746138152142,0.005228879999999663,26,0.13072199999999157,4886.0,1455,3431.0
187.6153846153846,356.70537724268496,0.42340239276334984,0.0043021599999997304,26,0.10755399999999327,4878.0,1451,3427.0
187.92307692307693,356.787210878072,0.4240746138152142,0.004406680000000733,26,0.11016700000001833,4886.0,1455,3431.0
73.2,20.571825392998065,1.859375,0.003718999999996697,5,0.014875999999986789,366.0,238,128.0
73.2,20.571825392998065,1.859375,0.0005487500000000978,5,0.002195000000000391,366.0,238,128.0
64.0,33.94112549695428,2.2,0.001006000000018048,2,0.001006000000018048,128.0,88,40.0
187.84615384615384,356.76644374802873,0.4239067055393586,0.004417760000000044,26,0.1104440000000011,4884.0,1454,3430.0
69.42857142857143,19.543602046510795,0.6933797909407665,0.0004844999999988886,7,0.0029069999999933316,486.0,199,287.0
88.0,-1.0,-1.0,-1.0,1,0.0,88.0,88,0.0
