avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,tot_pkt_len,fwd_pkt_len,bwd_pkt_len
277.5,311.8340905032675,0.1144578313253012,0.006226999999952909,2,0.006226999999952909,555,57,498
147.5,150.61374439273462,0.16141732283464566,0.00292699999999968,2,0.00292699999999968,295,41,254
222.0,258.8010819142764,0.0962962962962963,0.0023510000000328546,2,0.0023510000000328546,444,39,405
157.0,166.87720036002523,0.14181818181818182,0.2725549999998975,2,0.2725549999998975,314,39,275
220.0,250.31580054003783,0.10831234256926953,0.001745999999968717,2,0.001745999999968717,440,43,397
95.0,70.71067811865476,0.3103448275862069,0.18056000000001404,2,0.18056000000001404,190,45,145
277.5,311.8340905032675,0.1144578313253012,0.005701999999985219,2,0.005701999999985219,555,57,498
145.0,142.8355697996826,0.17886178861788618,0.002441999999973632,2,0.002441999999973632,290,44,246
277.5,311.8340905032675,0.1144578313253012,0.004414000000000584,2,0.004414000000000584,555,57,498
308.0,0.0,1.0,0.009580999999997175,2,0.009580999999997175,616,308,308
197.5,191.6259377015544,0.18618618618618618,0.0028490000000260807,2,0.0028490000000260807,395,62,333
153.5,161.00621106031903,0.1739961759082218,109.14034400000001,4,327.421032,614,91,523
95.0,70.71067811865476,0.3103448275862069,0.2225299999999999,2,0.2225299999999999,190,45,145
