,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
3851,170.78571428571428,384.5393205005036,1.0,0.016486769230765547,14,0.2143279999999521,2391.0,1,voip
473,170.78571428571428,384.5393205005036,1.0,0.019204384615385643,14,0.2496570000000133,2391.0,1,voip
3468,170.78571428571428,384.5393205005036,1.0,0.030774461538455325,14,0.4000679999999193,2391.0,1,voip
1540,1320.0,0.0,-1.0,7.787027707808945e-05,795,0.06182900000000303,1049400.0,1,download
3708,400.157894736842,595.732533493,0.9,0.016847666666666643,19,0.3032579999999996,7603.0,1,voip
548,170.78571428571428,384.5393205005036,1.0,0.01990684615384453,14,0.25878899999997884,2391.0,1,voip
4610,78.0,-1.0,0.0,-1.0,1,0.016942000000028656,78.0,0,voip
2402,836.8763955342903,668.7358026127923,0.6306892067620286,0.0008613711093375881,1254,1.0792979999999979,1049443.0,1,game
1383,34.0,-1.0,0.0,-1.0,1,0.08823199999994813,34.0,0,voip
1064,725.6961937716263,386.1233796159676,-1.0,0.003793592105263138,1445,5.477946999999971,1048631.0,0,voip
1529,1320.0,0.0,-1.0,8.267884130982173e-05,795,0.06564699999999846,1049400.0,1,download
3854,20.0,-1.0,0.0,-1.0,1,0.0251129999999904,20.0,1,voip
2578,182.0,0.0,-1.0,1.5012790000000038,3,3.0025580000000085,546.0,0,game
3636,170.78571428571428,384.5393205005036,1.0,0.01963453846152473,14,0.25524899999982154,2391.0,1,voip
277,400.157894736842,595.732533493,0.9,0.014821444444445813,19,0.2667860000000246,7603.0,1,voip
2505,153.4179104477612,66.04753780507696,-1.0,19.179646500000004,67,1265.8566690000002,10279.0,0,game
4091,69.7,81.7231777268712,1.0,3.3433506666666637,10,30.090155999999986,697.0,1,voip
3654,170.78571428571428,384.5393205005036,1.0,0.05899046153847218,14,0.7668760000001384,2391.0,1,voip
1901,387.75,274.4069098508874,-1.0,1.9907058260869568,24,45.78623400000001,9306.0,0,game
1831,35.166666666666664,14.455679391390314,0.5,0.0005813999999986664,6,0.002906999999993332,211.0,1,game
2057,212.96666666666667,369.01410900354216,1.1428571428571428,0.2264747586206897,30,6.567768000000001,6389.0,1,streaming
1873,259.0,0.0,-1.0,32.323720307692305,14,420.208364,3626.0,0,game
1285,860.605414273995,340.9813486612797,-1.0,0.0027774162561576554,1219,3.382893000000024,1049078.0,0,voip
2203,358.0,-1.0,0.0,-1.0,1,0.1502200000000009,358.0,0,streaming
3364,170.78571428571428,384.5393205005036,1.0,0.04333592307692085,14,0.5633669999999711,2391.0,1,voip
787,170.78571428571428,384.5393205005036,1.0,0.018270230769230213,14,0.2375129999999928,2391.0,1,voip
387,170.78571428571428,384.5393205005036,1.0,0.013451769230772908,14,0.1748730000000478,2391.0,1,voip
789,170.78571428571428,384.5393205005036,1.0,0.02031392307692561,14,0.2640810000000329,2391.0,1,voip
1473,1320.0,0.0,-1.0,8.606675062972248e-05,795,0.06833699999999965,1049400.0,1,download
1712,1320.0,0.0,-1.0,0.00011516372795970496,795,0.09144000000000574,1049400.0,1,download
3449,170.78571428571428,384.5393205005036,1.0,0.0922689999999875,14,1.1994969999998375,2391.0,1,voip
1405,1320.0,0.0,-1.0,0.0002355617128463453,795,0.1870359999999982,1049400.0,1,download
2520,182.0,0.0,-1.0,1.5244994999999903,3,3.0489989999999807,546.0,0,game
108,332.8333333333333,484.572385885866,0.92,0.18586712765957444,48,8.735755000000001,15976.0,1,streaming
3372,891.9296703296702,707.5256688879589,0.6366906474820144,0.009792255506608243,455,4.445684000000142,405828.0,1,voip
4733,170.78571428571428,384.5393205005036,1.0,0.029089230769230312,14,0.3781599999999941,2391.0,1,download
2703,170.78571428571428,384.5393205005036,1.0,0.0540914615384666,14,0.7031890000000658,2391.0,1,voip
1167,34.0,-1.0,0.0,-1.0,1,0.2181860000000171,34.0,0,voip
3640,170.78571428571428,384.5393205005036,1.0,0.02117676923076208,14,0.275297999999907,2391.0,1,voip
4791,1450.0,0.0,-1.0,0.00014510650069156123,724,0.10491199999999876,1049800.0,1,download
324,170.78571428571428,384.5393205005036,1.0,0.019946384615388103,14,0.25930300000004536,2391.0,1,voip
2347,32.478947368421046,4.823561983519593,-1.0,0.002384370370370365,190,0.4506459999999989,6171.0,1,game
2805,400.157894736842,595.732533493,0.9,0.017745166666663356,19,0.31941299999994044,7603.0,1,voip
3712,118.72727272727272,229.60186885523862,1.2,0.2354082000000005,11,2.3540820000000053,1306.0,1,voip
737,32.0,0.0,1.0,0.019710000000001667,2,0.019710000000001667,64.0,1,voip
4662,133.08333333333334,242.94311280751725,1.0,0.011027545454545228,12,0.1213029999999975,1597.0,1,download
2826,400.157894736842,595.732533493,0.9,0.028208277777778,19,0.507749000000004,7603.0,1,voip
3044,170.78571428571428,384.5393205005036,1.0,0.01469323076923082,14,0.19101200000000065,2391.0,1,voip
