,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,is_tcp,tot_pkt_len,fwd_pkt_len,bwd_pkt_len,outcome
977,83.0,28.867513459481287,0.5370370370370371,133.08040666666668,4,399.24122,0,332.0,116.0,216.0,voip
770,195.9333333333333,371.47283435894286,0.2717438338381653,0.018596642857142496,15,0.2603529999999949,1,2939.0,628.0,2311.0,voip
145,1310.3825,115.90059265582926,-1.0,0.0022263329161451846,800,1.7788400000000024,1,1048306.0,1048306.0,0.0,streaming
2931,64.0,33.94112549695428,2.2,0.0251129999999904,2,0.0251129999999904,1,128.0,88.0,40.0,voip
2857,205.35714285714286,383.6303523611593,0.2794837561192701,0.06170800000000135,14,0.8022040000000175,1,2875.0,628.0,2247.0,voip
4710,195.9333333333333,371.47283435894286,0.2717438338381653,0.019366071428571274,15,0.27112499999999784,1,2939.0,628.0,2311.0,download
395,326.4782608695652,499.488089726528,0.3507825148407987,1.4033452727272788,23,30.873596000000127,1,7509.0,1950.0,5559.0,voip
1795,239.73278425989483,233.85777420587345,-1.0,0.03568849016018307,4371,155.95870200000005,0,1047872.0,1047872.0,0.0,game
1417,1350.340206185567,46.236505414982325,-1.0,0.00025648129032258187,776,0.19877300000000092,1,1047864.0,1047864.0,0.0,download
3058,195.9333333333333,371.47283435894286,0.2717438338381653,0.05220042857143069,15,0.7308060000000296,1,2939.0,628.0,2311.0,voip
4153,195.9333333333333,371.47283435894286,0.2717438338381653,0.13116042857143384,15,1.836246000000073,1,2939.0,628.0,2311.0,voip
2992,195.9333333333333,371.47283435894286,0.2717438338381653,0.0131689285713849,15,0.1843649999993886,1,2939.0,628.0,2311.0,voip
4720,386.8636363636364,571.7121566341667,0.1269862288135593,0.022968238095237275,22,0.4823329999999828,1,8511.0,959.0,7552.0,download
3059,415.55,584.5679893823526,0.1005031779661017,0.04436326315789373,20,0.8429019999999809,1,8311.0,759.0,7552.0,voip
4387,195.9333333333333,371.47283435894286,0.2717438338381653,0.02000571428571415,15,0.2800799999999981,1,2939.0,628.0,2311.0,voip
3105,415.55,584.5679893823526,0.1005031779661017,0.03682868421052669,20,0.6997450000000072,1,8311.0,759.0,7552.0,voip
4717,195.9333333333333,371.47283435894286,0.2717438338381653,0.017077999999999958,15,0.23909199999999944,1,2939.0,628.0,2311.0,download
4172,415.55,584.5679893823526,0.1005031779661017,0.0183146842105328,20,0.34797900000012305,1,8311.0,759.0,7552.0,voip
2697,70.0,11.31370849898476,0.7948717948717948,0.017685999999997648,2,0.017685999999997648,0,140.0,62.0,78.0,game
4782,415.55,584.5679893823526,0.1005031779661017,0.01636221052631688,20,0.31088200000002075,1,8311.0,759.0,7552.0,download
2837,195.9333333333333,371.47283435894286,0.2717438338381653,0.02346385714285556,15,0.32849399999997786,1,2939.0,628.0,2311.0,voip
3617,101.54545454545456,77.34515322418545,0.8996598639455783,3.0438877000000275,11,30.43887700000027,1,1117.0,529.0,588.0,voip
44,113.75,159.40122333282142,0.93342776203966,0.05253045454545393,12,0.5778349999999932,1,1365.0,659.0,706.0,streaming
442,415.55,584.5679893823526,0.1005031779661017,0.013540789473683831,20,0.2572749999999928,1,8311.0,759.0,7552.0,voip
4313,195.9333333333333,371.47283435894286,0.2717438338381653,0.06259471428571876,15,0.8763260000000628,1,2939.0,628.0,2311.0,voip
2588,63.0,11.31370849898476,0.7746478873239436,0.01701899999977741,2,0.01701899999977741,0,126.0,55.0,71.0,game
3319,195.9333333333333,371.47283435894286,0.2717438338381653,0.019360642857139152,15,0.2710489999999481,1,2939.0,628.0,2311.0,voip
2777,195.9333333333333,371.47283435894286,0.2717438338381653,0.04233599999999375,15,0.5927039999999124,1,2939.0,628.0,2311.0,voip
4260,195.9333333333333,371.47283435894286,0.2717438338381653,0.02058992857144761,15,0.2882590000002665,1,2939.0,628.0,2311.0,voip
2498,182.0,0.0,-1.0,1.0008873333333288,4,3.0026619999999866,0,728.0,728.0,0.0,game
119,1304.2278953922792,129.37715408421877,-1.0,0.002059779301745657,803,1.651943000000017,1,1047295.0,1047295.0,0.0,streaming
3925,142.0,228.49595182409686,1.8608058608058609,0.08053140000000099,11,0.8053140000000099,1,1562.0,1016.0,546.0,voip
61,1302.4919254658384,132.17609050952632,-1.0,0.0024651069651741345,805,1.9819460000000042,1,1048506.0,1048506.0,0.0,streaming
557,195.9333333333333,371.47283435894286,0.2717438338381653,0.012905500000000205,15,0.18067700000000286,1,2939.0,628.0,2311.0,voip
4807,1482.0,0.0,-1.0,0.00017159915014164424,707,0.12114900000000085,1,1047774.0,1047774.0,0.0,download
2069,138.63636363636363,218.4089159019259,1.793040293040293,0.10337089999999877,11,1.0337089999999876,1,1525.0,979.0,546.0,streaming
