,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,is_tcp,tot_pkt_len,fwd_pkt_len,bwd_pkt_len,outcome
0,195.9333333333333,371.47283435894286,0.2717438338381653,0.014923357142882716,15,0.208927000000358,1,2939.0,628.0,2311.0,voip
1,101.54545454545456,77.34515322418545,0.8996598639455783,3.0751944000000093,11,30.75194400000009,1,1117.0,529.0,588.0,voip
2,415.55,584.5679893823526,0.1005031779661017,0.017355000000003132,20,0.32974500000005946,1,8311.0,759.0,7552.0,voip
3,415.55,584.5679893823526,0.1005031779661017,0.017409105263171017,20,0.3307730000002493,1,8311.0,759.0,7552.0,voip
4,277.8666666666667,502.38486480083407,0.19358533791523486,0.23710335714286296,15,3.3194470000000824,1,4168.0,676.0,3492.0,voip
5,195.9333333333333,371.47283435894286,0.2717438338381653,0.039863285714285934,15,0.5580860000000029,1,2939.0,628.0,2311.0,voip
6,415.55,584.5679893823526,0.1005031779661017,0.01647384210526812,20,0.3130030000000943,1,8311.0,759.0,7552.0,voip
7,101.54545454545456,77.34515322418545,0.8996598639455783,3.0745679000000337,11,30.745679000000333,1,1117.0,529.0,588.0,voip
8,195.9333333333333,371.47283435894286,0.2717438338381653,0.01426592857142899,15,0.19972300000000587,1,2939.0,628.0,2311.0,voip
9,415.55,593.1084461945964,0.1005031779661017,0.032500736842106755,20,0.6175140000000283,1,8311.0,759.0,7552.0,voip
10,64.0,33.94112549695428,2.2,0.2563449999999534,2,0.2563449999999534,1,128.0,88.0,40.0,voip
11,195.9333333333333,371.47283435894286,0.2717438338381653,0.02458721428570243,15,0.344220999999834,1,2939.0,628.0,2311.0,voip
12,195.9333333333333,371.47283435894286,0.2717438338381653,0.06495228571428616,15,0.9093320000000062,1,2939.0,628.0,2311.0,voip
13,195.9333333333333,371.47283435894286,0.2717438338381653,0.04655292857143373,15,0.6517410000000723,1,2939.0,628.0,2311.0,voip
14,195.9333333333333,371.47283435894286,0.2717438338381653,0.017519071428572324,15,0.24526700000001256,1,2939.0,628.0,2311.0,voip
15,195.9333333333333,371.47283435894286,0.2717438338381653,0.017779571428556146,15,0.24891399999978606,1,2939.0,628.0,2311.0,voip
16,195.9333333333333,371.47283435894286,0.2717438338381653,0.06190085714285942,15,0.8666120000000319,1,2939.0,628.0,2311.0,voip
17,415.55,593.1084461945964,0.1005031779661017,0.043301894736849166,20,0.8227360000001339,1,8311.0,759.0,7552.0,voip
18,101.54545454545456,77.34515322418545,0.8996598639455783,3.017759099999989,11,30.17759099999989,1,1117.0,529.0,588.0,voip
19,195.9333333333333,371.47283435894286,0.2717438338381653,0.017684571428572684,15,0.2475840000000176,1,2939.0,628.0,2311.0,voip
20,180.41176470588238,350.2326117781455,0.29136842105263155,0.06801306250000039,17,1.0882090000000062,1,3067.0,692.0,2375.0,voip
21,195.9333333333333,371.47283435894286,0.2717438338381653,0.01455649999998546,15,0.20379099999979644,1,2939.0,628.0,2311.0,voip
22,195.9333333333333,371.47283435894286,0.2717438338381653,0.017823214285714175,15,0.24952499999999844,1,2939.0,628.0,2311.0,voip
23,101.54545454545456,77.34515322418545,0.8996598639455783,3.018385700000002,11,30.183857000000014,1,1117.0,529.0,588.0,voip
24,195.9333333333333,371.47283435894286,0.2717438338381653,0.013355642857144443,15,0.1869790000000222,1,2939.0,628.0,2311.0,voip
25,142.0,228.49595182409692,1.8608058608058609,0.09400909999999384,11,0.9400909999999384,1,1562.0,1016.0,546.0,voip
26,142.0,228.49595182409692,1.8608058608058609,0.07855070000000522,11,0.7855070000000524,1,1562.0,1016.0,546.0,voip
27,122.34482758620688,115.00132789980823,2.1259911894273134,6.26613953571429,29,175.45190700000012,1,3548.0,2413.0,1135.0,voip
28,195.9333333333333,371.47283435894286,0.2717438338381653,0.022877571428564027,15,0.3202859999998964,1,2939.0,628.0,2311.0,voip
29,195.9333333333333,371.47283435894286,0.2717438338381653,0.015469785714285781,15,0.2165770000000009,1,2939.0,628.0,2311.0,voip
30,195.9333333333333,371.47283435894286,0.2717438338381653,0.018473857142859224,15,0.2586340000000291,1,2939.0,628.0,2311.0,voip
31,195.9333333333333,371.47283435894286,0.2717438338381653,0.05099064285714202,15,0.7138689999999883,1,2939.0,628.0,2311.0,voip
32,195.9333333333333,371.47283435894286,0.2717438338381653,0.025083714285707562,15,0.3511719999999059,1,2939.0,628.0,2311.0,voip
33,415.55,593.1084461945964,0.1005031779661017,0.016992210526316404,20,0.3228520000000117,1,8311.0,759.0,7552.0,voip
34,195.9333333333333,371.47283435894286,0.2717438338381653,0.053032642857145006,15,0.7424570000000301,1,2939.0,628.0,2311.0,voip
35,101.54545454545456,77.34515322418545,0.8996598639455783,3.030878099999996,11,30.308780999999954,1,1117.0,529.0,588.0,voip
36,415.55,584.5679893823526,0.1005031779661017,0.016361473684210488,20,0.3108679999999993,1,8311.0,759.0,7552.0,voip
37,195.9333333333333,371.47283435894286,0.2717438338381653,0.026527642857144783,15,0.37138700000002706,1,2939.0,628.0,2311.0,voip
38,195.9333333333333,371.47283435894286,0.2717438338381653,0.016644214285682732,15,0.23301899999955825,1,2939.0,628.0,2311.0,voip
39,195.9333333333333,371.47283435894286,0.2717438338381653,0.06780357142857138,15,0.9492499999999992,1,2939.0,628.0,2311.0,voip
40,195.9333333333333,371.47283435894286,0.2717438338381653,0.017154571428570926,15,0.2401639999999929,1,2939.0,628.0,2311.0,voip
41,195.9333333333333,371.47283435894286,0.2717438338381653,0.016032499999986217,15,0.22445499999980711,1,2939.0,628.0,2311.0,voip
